time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1786280664998029800,383.17802978515624,46.588379424996674,1.85827128370841,7.736935998333332,51.81532949432726,46.998379421420395,278.19915771484375,6.948817962157953,3.307801405892763,46.39382186801123,19.45839998752996
1786280665998008300,384.17800830078124,46.339878706261516,1.1130078761311961,7.258755270043247,51.81536288325515,46.74987870268524,278.1064758300781,4.861747977832231,3,46.39344218643019,20.39023328461682
1786280666998017300,385.17801733398437,46.13373769726604,1.0059653091791012,7.2589636752212945,51.8153893196593,46.54373769368976,278.1405944824219,4.395140603835719,3,46.393143078474715,19.731270839395425
1786280667998021600,386.1780217285156,46.392695126123726,0.985990552348804,7.258637808584745,51.81541434102303,46.80269512254745,278.1405944824219,4.91025492373589,3,46.39286085031433,18.80707764441128
1786280668998026000,387.1780258789062,46.01370957121253,0.6667899374449159,7.258891457478691,51.815435282633764,46.42370956763625,278.173095703125,4.991389761141387,3,46.39262517764154,16.416836050314682
1786280669998066400,388.17806640625,46.70678696595132,0.646262961605559,7.2580326388690874,51.8154463787625,47.116786962375045,278.173095703125,3.449704643289284,3,46.392395862610904,14.514747782216274
1786280670998084000,389.178083984375,46.92575628682971,0.6484743513546949,7.2569237475583686,51.81546809085196,47.33575628325343,278.13824462890625,4.7608920720298675,3,46.392186720260646,13.303078683898425
1786280671998102800,390.17810278320314,47.08470678888261,0.6564715465638061,7.258533966851882,51.815493744423115,47.494706785306334,278.13824462890625,6.43678219088903,3.43147478938961,46.3920068880656,12.055938151505922
1786280672998150400,391.178150390625,47.20253463182598,0.6577978325085612,7.257910361338249,51.815504498466645,47.612534628249705,278.02325439453125,6.033341856932246,3.19521449218355,46.3918396457338,11.055724053387962
1786280673998172700,392.17817260742186,47.39018442016095,0.6614677063856449,7.256605620358608,51.81551480786496,47.80018441658467,278.0978698730469,4.443606823433774,3,46.39170937303373,9.426445879737694
1786280674998197000,393.1781970214844,47.72284781187773,0.6384960214308458,7.2479946229128105,51.81552646717953,48.13284780830145,278.0978698730469,3.6219155095895443,3,46.39159229697194,8.53493913747774
1786280675998247700,394.17824755859374,47.944337769411504,0.6380489709349935,7.251614206980244,51.81554164798426,48.354337765835226,278.0978698730469,3.7886095713514183,3,46.3914580316912,9.098694837053936
1786280676998272000,395.17827197265626,48.280631304718554,0.6517106154003327,7.253361188545269,51.815555831729675,48.690631301142275,278.0978698730469,3.8517928370124292,3,46.39129496516478,10.865901217748055
1786280677998294500,396.17829443359375,48.68441134784371,0.7703477510265706,7.254925019856073,51.815573211708674,49.09441134426743,278.0978698730469,3.4887827247402186,3,46.39111594027861,12.337278483992115
1786280678998346500,397.17834643554687,48.90898034349084,0.840571446294055,7.25536729836262,51.81558208373389,49.31898033991456,277.8768310546875,3.235397240981198,3,46.39093604212672,12.790157038164569
1786280679998401500,398.1784016113281,48.72491222899407,0.9135192624076621,7.258034709890932,51.815598341942646,49.13491222541779,277.8768310546875,2.957593907903124,3,46.39075614092099,12.650870302130475
